"No.","Time","Source","Destination","Protocol","Sequence Number","Payload Length","Info"
"192","10.386656","","","IEEE 802.15.4","180","","Ack"
"193","10.417000","::202:2:2:2","::206:6:6:6","ICMPv6","60","16","RPL Control (Destination Advertisement Object Acknowledgment)"
"194","10.419312","","","IEEE 802.15.4","60","","Ack"
"195","10.854000","fe80::216:16:16:16","fe80::201:1:1:1","ICMPv6","200","76","RPL Control (DODAG Information Object)"
"196","10.858200","","","IEEE 802.15.4","200","","Ack"
"197","11.066000","::208:8:8:8","::202:2:2:2","ICMPv6","232","58","RPL Control (Destination Advertisement Object)"
"198","11.069656","","","IEEE 802.15.4","232","","Ack"
"199","11.077000","::202:2:2:2","::208:8:8:8","ICMPv6","61","16","RPL Control (Destination Advertisement Object Acknowledgment)"
"200","11.079312","","","IEEE 802.15.4","61","","Ack"
"201","11.091000","fe80::203:3:3:3","fe80::201:1:1:1","ICMPv6","73","76","RPL Control (DODAG Information Object)"
"202","11.095200","","","IEEE 802.15.4","73","","Ack"
"203","11.361000","::20b:b:b:b","::202:2:2:2","ICMPv6","111","58","RPL Control (Destination Advertisement Object)"
"204","11.364656","","","IEEE 802.15.4","111","","Ack"
"205","11.367752","::202:2:2:2","::20b:b:b:b","ICMPv6","62","16","RPL Control (Destination Advertisement Object Acknowledgment)"
"206","11.370064","","","IEEE 802.15.4","62","","Ack"
"207","11.403000","::214:14:14:14","::202:2:2:2","ICMPv6","117","58","RPL Control (Destination Advertisement Object)"
"208","11.406656","","","IEEE 802.15.4","117","","Ack"
"209","11.429000","::210:10:10:10","::201:1:1:1","UDP","118","23","8765  >  5678 Len=7"
"210","11.431472","","","IEEE 802.15.4","118","","Ack"
"211","11.445000","::201:1:1:1","::210:10:10:10","UDP","16","23","5678  >  8765 Len=7"
"212","11.447472","","","IEEE 802.15.4","16","","Ack"
"213","11.446472","::202:2:2:2","::214:14:14:14","ICMPv6","63","16","RPL Control (Destination Advertisement Object Acknowledgment)"
"214","11.460000","::201:1:1:1","::210:10:10:10","UDP","16","23","5678  >  8765 Len=7"
"215","11.462472","","","IEEE 802.15.4","16","","Ack"
"216","11.471000","::202:2:2:2","::214:14:14:14","ICMPv6","63","16","RPL Control (Destination Advertisement Object Acknowledgment)"
"217","11.473312","","","IEEE 802.15.4","63","","Ack"
