"No.","Time","Source","Destination","Protocol","Sequence Number","Payload Length","Info"
"71","13.596000","fe80::208:8:8:8","fe80::201:1:1:1","ICMPv6","231","76","RPL Control (DODAG Information Object)"
"72","13.600200","","","IEEE 802.15.4","231","","Ack"
"73","14.113000","fe80::202:2:2:2","ff02::1a","ICMPv6","60","76","RPL Control (DODAG Information Object)"
"74","14.181000","fe80::204:4:4:4","fe80::202:2:2:2","ICMPv6","65","76","RPL Control (DODAG Information Object)"
"75","14.185200","","","IEEE 802.15.4","65","","Ack"
"76","14.883000","::202:2:2:2","::201:1:1:1","UDP","61","23","8765  >  5678 Len=7"
"77","14.885472","","","IEEE 802.15.4","61","","Ack"
"78","14.926000","::201:1:1:1","::202:2:2:2","UDP","16","23","5678  >  8765 Len=7"
"79","14.928472","","","IEEE 802.15.4","16","","Ack"
"80","15.438000","fe80::20b:b:b:b","fe80::202:2:2:2","ICMPv6","108","76","RPL Control (DODAG Information Object)"
"81","15.442200","","","IEEE 802.15.4","108","","Ack"
"82","15.660000","fe80::206:6:6:6","fe80::202:2:2:2","ICMPv6","177","76","RPL Control (DODAG Information Object)"
"83","15.664200","","","IEEE 802.15.4","177","","Ack"
"84","15.720000","fe80::205:5:5:5","fe80::202:2:2:2","ICMPv6","117","76","RPL Control (DODAG Information Object)"
"85","15.724200","","","IEEE 802.15.4","117","","Ack"
"86","16.368000","fe80::206:6:6:6","fe80::202:2:2:2","ICMPv6","178","76","RPL Control (DODAG Information Object)"
"87","16.372200","","","IEEE 802.15.4","178","","Ack"
"88","16.664000","::209:9:9:9","::201:1:1:1","UDP","140","23","8765  >  5678 Len=7"
"89","16.666472","","","IEEE 802.15.4","140","","Ack"
"90","16.697000","::201:1:1:1","::209:9:9:9","UDP","17","23","5678  >  8765 Len=7"
"91","16.699472","","","IEEE 802.15.4","17","","Ack"
"92","17.065000","::203:3:3:3","::201:1:1:1","UDP","76","23","8765  >  5678 Len=7"
"93","17.067472","","","IEEE 802.15.4","76","","Ack"
"94","17.103000","::201:1:1:1","::203:3:3:3","UDP","18","23","5678  >  8765 Len=7"
"95","17.105472","","","IEEE 802.15.4","18","","Ack"
"96","17.121000","fe80::205:5:5:5","fe80::202:2:2:2","ICMPv6","118","76","RPL Control (DODAG Information Object)"
"97","17.125200","","","IEEE 802.15.4","118","","Ack"
"98","17.394000","fe80::203:3:3:3","ff02::1a","ICMPv6","77","76","RPL Control (DODAG Information Object)"
"99","17.525000","fe80::206:6:6:6","fe80::202:2:2:2","ICMPv6","179","76","RPL Control (DODAG Information Object)"
"100","17.529200","","","IEEE 802.15.4","179","","Ack"
"101","17.684000","::20a:a:a:a","::201:1:1:1","ICMPv6","240","58","RPL Control (Destination Advertisement Object)"
"102","17.687656","","","IEEE 802.15.4","240","","Ack"
